Food Item (खाद्य पदार्थ),"Cereals,Pulses,Lentils & Legumes",Calories (per 100g),Protein (g),Carbs(g),Fats(g),Rasa (Taste) (रस),Virya (Potency) (वीर्य),Guna (Quality) (गुण),Vipaka (Post-digestive) (विपाक),Suitable for (Vata/Pitta/Kapha),Notes (Digestion / Special Effects),,,,,,
Toor Dal (अरहर दाल),"Cereals,Pulses,Lentils & Legumes",343,22.3,57.6,1.7,Sweet Astringent (मधुर कषाय),Heating (उष्ण),Light Dry (लघु रुक्ष),Sweet (मधुर),Vata↑ Pitta↑ Kapha↓,"Easily digestible, strengthens muscles.",,,,,,
Moong Dal (मूंग दाल),"Cereals,Pulses,Lentils & Legumes",347,24,63,1.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,"Best dal for digestion, very sattvic.",,,,,,
Masoor Dal (मसूर दाल),"Cereals,Pulses,Lentils & Legumes",320,25,60,1.3,Astringent (कषाय),Heating (उष्ण),Dry Light (रुक्ष लघु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Helps control sugar levels.,,,,,,
Chana Dal (चना दाल),"Cereals,Pulses,Lentils & Legumes",364,20.5,60,5.6,Sweet Astringent (मधुर कषाय),Heating (उष्ण),Heavy Dry (गुरु रुक्ष),Pungent (कटु),Vata↑ Pitta↑ Kapha↓,Strengthening but heavy to digest.,,,,,,
Urad Dal (उड़द दाल),"Cereals,Pulses,Lentils & Legumes",341,25.2,59.6,1.6,Sweet (मधुर),Heating (उष्ण),Heavy Oily (गुरु स्निग्ध),Sweet (मधुर),Vata↑ Pitta↑ Kapha↑,Increases strength; difficult to digest.,,,,,,
Rajma (राजमा),"Cereals,Pulses,Lentils & Legumes",337,24,60,1.1,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,High protein but causes gas if not soaked well.,,,,,,
Black Chana (काला चना),"Cereals,Pulses,Lentils & Legumes",360,20,65,5,Astringent (कषाय),Heating (उष्ण),Dry Heavy (रुक्ष गुरु),Pungent (कटु),Vata↑ Pitta↑ Kapha↓,"Improves stamina, reduces cholesterol.",,,,,,
White Chana (चना),"Cereals,Pulses,Lentils & Legumes",364,19,61,6,Sweet Astringent (मधुर कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↑ Kapha↓,"High fiber, supports weight loss.",,,,,,
Green Gram (हरी मूंग),"Cereals,Pulses,Lentils & Legumes",347,24,63,1.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,"Very light digestion, ideal for detox.",,,,,,
Soybean (सोयाबीन),"Cereals,Pulses,Lentils & Legumes",446,36.5,30,19.9,Astringent (कषाय),Cooling (शीत),Heavy Oily (गुरु स्निग्ध),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,"Very high protein, increases Kapha.",,,,,,
Lentils Whole (मसूर साबुत),"Cereals,Pulses,Lentils & Legumes",325,24.6,60.1,1.3,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Good for heart health.,,,,,,
Horse Gram (कुल्थी),"Cereals,Pulses,Lentils & Legumes",321,22,57.2,0.5,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Excellent for kidney stones & weight loss.,,,,,,
Peas Dry (सूखी मटर),"Cereals,Pulses,Lentils & Legumes",352,23,63,1,Sweet Astringent (मधुर कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↓,Good protein source but forms gas.,,,,,,
Split Green Gram (मूंग दाल धुली),"Cereals,Pulses,Lentils & Legumes",348,24.5,62,1.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Lightest and easiest digestible dal.,,,,,,
Chickpeas Sprouted (अंकुरित चना),"Cereals,Pulses,Lentils & Legumes",164,9,27,2.6,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↓,"Easier to digest, boosts metabolism.",,,,,,
Pigeon Pea Whole (अरहर साबुत),"Cereals,Pulses,Lentils & Legumes",343,22,57,1.7,Sweet Astringent (मधुर कषाय),Heating (उष्ण),Light (लघु),Sweet (मधुर),Vata↑ Pitta↑ Kapha↓,Useful for constipation relief.,,,,,,
Bengal Gram Whole (चना साबुत),"Cereals,Pulses,Lentils & Legumes",360,20.5,62,5.5,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↑ Kapha↓,Great for stamina and digestion.,,,,,,
Urad Split (उड़द दाल धुली),"Cereals,Pulses,Lentils & Legumes",341,25,60,1.6,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↑ Kapha↑,Nourishing but heavy.,,,,,,
Kidney Beans Small (छोटा राजमा),"Cereals,Pulses,Lentils & Legumes",333,22.5,61,1,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,"High fiber, reduces cholesterol.",,,,,,
Black Eyed Beans (लोबिया),"Cereals,Pulses,Lentils & Legumes",343,23.4,60,1.3,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Improves digestion if soaked well.,,,,,,
Soya Chunks (सोया बड़ी),"Cereals,Pulses,Lentils & Legumes",345,52,33,0.5,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,"Very high protein, increases Kapha.",,,,,,
Matki (मटकी),"Cereals,Pulses,Lentils & Legumes",343,24,61,1,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Supports weight loss and digestion.,,,,,,
Red Lentils Split (लाल मसूर दाल),"Cereals,Pulses,Lentils & Legumes",319,25.4,60,1.2,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Light and quick to cook.,,,,,,
Whole Moong Sprouts (अंकुरित मूंग),"Cereals,Pulses,Lentils & Legumes",30,3,6,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Highly sattvic improves digestion.,,,,,,
Pea Protein (मटर प्रोटीन),"Cereals,Pulses,Lentils & Legumes",360,80,7,5,Astringent (कषाय),Cooling (शीत),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,High protein supplement.,,,,,,
Dry Lentils Yellow (पीली दाल),"Cereals,Pulses,Lentils & Legumes",330,24,62,1.5,Sweet Astringent (मधुर कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Gentle on stomach.,,,,,,
Field Beans (बाकला),"Cereals,Pulses,Lentils & Legumes",343,21,62,1.5,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Strong but gas-forming if unsoaked.,,,,,,
Dry Soya Beans (सूखा सोया),"Cereals,Pulses,Lentils & Legumes",446,36,30,19,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,Rich in protein and fats.,,,,,,
Sprouted Matki (अंकुरित मटकी),"Cereals,Pulses,Lentils & Legumes",92,8,17,0.6,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Improves digestion and nutrient absorption.,,,,,,
Black Urad Whole (काली उड़द),"Cereals,Pulses,Lentils & Legumes",341,24,59,1.8,Sweet (मधुर),Heating (उष्ण),Heavy Oily (गुरु स्निग्ध),Sweet (मधुर),Vata↑ Pitta↑ Kapha↑,Very strengthening but difficult to digest.,,,,,,
