id,title,category,nutrition,ayurveda,notes,content
toor-dal-(अरहर-दाल),Toor Dal (अरहर दाल),"Cereals,Pulses,Lentils & Legumes","{'calories': '343.0', 'protein': '22.3', 'carbs': '57.6', 'fats': '1.7'}","{'rasa': 'Sweet Astringent (मधुर कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Light Dry (लघु रुक्ष)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↑ Pitta↑ Kapha↓'}","Easily digestible, strengthens muscles.","Toor Dal (अरहर दाल) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 343.0
- Protein: 22.3
- Carbohydrates: 57.6
- Fats: 1.7

Ayurvedic Properties:
- Rasa (Taste): Sweet Astringent (मधुर कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Light Dry (लघु रुक्ष)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↑ Pitta↑ Kapha↓

Notes: Easily digestible, strengthens muscles."
moong-dal-(मूंग-दाल),Moong Dal (मूंग दाल),"Cereals,Pulses,Lentils & Legumes","{'calories': '347.0', 'protein': '24.0', 'carbs': '63.0', 'fats': '1.2'}","{'rasa': 'Sweet (मधुर)', 'virya': 'Cooling (शीत)', 'guna': 'Light (लघु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↓ Pitta↓ Kapha↓'}","Best dal for digestion, very sattvic.","Moong Dal (मूंग दाल) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 347.0
- Protein: 24.0
- Carbohydrates: 63.0
- Fats: 1.2

Ayurvedic Properties:
- Rasa (Taste): Sweet (मधुर)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Light (लघु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↓ Pitta↓ Kapha↓

Notes: Best dal for digestion, very sattvic."
masoor-dal-(मसूर-दाल),Masoor Dal (मसूर दाल),"Cereals,Pulses,Lentils & Legumes","{'calories': '320.0', 'protein': '25.0', 'carbs': '60.0', 'fats': '1.3'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Dry Light (रुक्ष लघु)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",Helps control sugar levels.,"Masoor Dal (मसूर दाल) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 320.0
- Protein: 25.0
- Carbohydrates: 60.0
- Fats: 1.3

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Dry Light (रुक्ष लघु)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: Helps control sugar levels."
chana-dal-(चना-दाल),Chana Dal (चना दाल),"Cereals,Pulses,Lentils & Legumes","{'calories': '364.0', 'protein': '20.5', 'carbs': '60.0', 'fats': '5.6'}","{'rasa': 'Sweet Astringent (मधुर कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Heavy Dry (गुरु रुक्ष)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↑ Kapha↓'}",Strengthening but heavy to digest.,"Chana Dal (चना दाल) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 364.0
- Protein: 20.5
- Carbohydrates: 60.0
- Fats: 5.6

Ayurvedic Properties:
- Rasa (Taste): Sweet Astringent (मधुर कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Heavy Dry (गुरु रुक्ष)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↑ Kapha↓

Notes: Strengthening but heavy to digest."
urad-dal-(उड़द-दाल),Urad Dal (उड़द दाल),"Cereals,Pulses,Lentils & Legumes","{'calories': '341.0', 'protein': '25.2', 'carbs': '59.6', 'fats': '1.6'}","{'rasa': 'Sweet (मधुर)', 'virya': 'Heating (उष्ण)', 'guna': 'Heavy Oily (गुरु स्निग्ध)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↑ Pitta↑ Kapha↑'}",Increases strength; difficult to digest.,"Urad Dal (उड़द दाल) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 341.0
- Protein: 25.2
- Carbohydrates: 59.6
- Fats: 1.6

Ayurvedic Properties:
- Rasa (Taste): Sweet (मधुर)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Heavy Oily (गुरु स्निग्ध)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↑ Pitta↑ Kapha↑

Notes: Increases strength; difficult to digest."
rajma-(राजमा),Rajma (राजमा),"Cereals,Pulses,Lentils & Legumes","{'calories': '337.0', 'protein': '24.0', 'carbs': '60.0', 'fats': '1.1'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",High protein but causes gas if not soaked well.,"Rajma (राजमा) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 337.0
- Protein: 24.0
- Carbohydrates: 60.0
- Fats: 1.1

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: High protein but causes gas if not soaked well."
black-chana-(काला-चना),Black Chana (काला चना),"Cereals,Pulses,Lentils & Legumes","{'calories': '360.0', 'protein': '20.0', 'carbs': '65.0', 'fats': '5.0'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Dry Heavy (रुक्ष गुरु)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↑ Kapha↓'}","Improves stamina, reduces cholesterol.","Black Chana (काला चना) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 360.0
- Protein: 20.0
- Carbohydrates: 65.0
- Fats: 5.0

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Dry Heavy (रुक्ष गुरु)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↑ Kapha↓

Notes: Improves stamina, reduces cholesterol."
white-chana-(चना),White Chana (चना),"Cereals,Pulses,Lentils & Legumes","{'calories': '364.0', 'protein': '19.0', 'carbs': '61.0', 'fats': '6.0'}","{'rasa': 'Sweet Astringent (मधुर कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↑ Kapha↓'}","High fiber, supports weight loss.","White Chana (चना) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 364.0
- Protein: 19.0
- Carbohydrates: 61.0
- Fats: 6.0

Ayurvedic Properties:
- Rasa (Taste): Sweet Astringent (मधुर कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↑ Kapha↓

Notes: High fiber, supports weight loss."
green-gram-(हरी-मूंग),Green Gram (हरी मूंग),"Cereals,Pulses,Lentils & Legumes","{'calories': '347.0', 'protein': '24.0', 'carbs': '63.0', 'fats': '1.2'}","{'rasa': 'Sweet (मधुर)', 'virya': 'Cooling (शीत)', 'guna': 'Light (लघु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↓ Pitta↓ Kapha↓'}","Very light digestion, ideal for detox.","Green Gram (हरी मूंग) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 347.0
- Protein: 24.0
- Carbohydrates: 63.0
- Fats: 1.2

Ayurvedic Properties:
- Rasa (Taste): Sweet (मधुर)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Light (लघु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↓ Pitta↓ Kapha↓

Notes: Very light digestion, ideal for detox."
soybean-(सोयाबीन),Soybean (सोयाबीन),"Cereals,Pulses,Lentils & Legumes","{'calories': '446.0', 'protein': '36.5', 'carbs': '30.0', 'fats': '19.9'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Cooling (शीत)', 'guna': 'Heavy Oily (गुरु स्निग्ध)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↑'}","Very high protein, increases Kapha.","Soybean (सोयाबीन) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 446.0
- Protein: 36.5
- Carbohydrates: 30.0
- Fats: 19.9

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Heavy Oily (गुरु स्निग्ध)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↑ Pitta↓ Kapha↑

Notes: Very high protein, increases Kapha."
lentils-whole-(मसूर-साबुत),Lentils Whole (मसूर साबुत),"Cereals,Pulses,Lentils & Legumes","{'calories': '325.0', 'protein': '24.6', 'carbs': '60.1', 'fats': '1.3'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Dry (रुक्ष)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",Good for heart health.,"Lentils Whole (मसूर साबुत) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 325.0
- Protein: 24.6
- Carbohydrates: 60.1
- Fats: 1.3

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Dry (रुक्ष)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: Good for heart health."
horse-gram-(कुल्थी),Horse Gram (कुल्थी),"Cereals,Pulses,Lentils & Legumes","{'calories': '321.0', 'protein': '22.0', 'carbs': '57.2', 'fats': '0.5'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Dry (रुक्ष)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",Excellent for kidney stones & weight loss.,"Horse Gram (कुल्थी) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 321.0
- Protein: 22.0
- Carbohydrates: 57.2
- Fats: 0.5

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Dry (रुक्ष)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: Excellent for kidney stones & weight loss."
peas-dry-(सूखी-मटर),Peas Dry (सूखी मटर),"Cereals,Pulses,Lentils & Legumes","{'calories': '352.0', 'protein': '23.0', 'carbs': '63.0', 'fats': '1.0'}","{'rasa': 'Sweet Astringent (मधुर कषाय)', 'virya': 'Cooling (शीत)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",Good protein source but forms gas.,"Peas Dry (सूखी मटर) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 352.0
- Protein: 23.0
- Carbohydrates: 63.0
- Fats: 1.0

Ayurvedic Properties:
- Rasa (Taste): Sweet Astringent (मधुर कषाय)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: Good protein source but forms gas."
split-green-gram-(मूंग-दाल-धुली),Split Green Gram (मूंग दाल धुली),"Cereals,Pulses,Lentils & Legumes","{'calories': '348.0', 'protein': '24.5', 'carbs': '62.0', 'fats': '1.1'}","{'rasa': 'Sweet (मधुर)', 'virya': 'Cooling (शीत)', 'guna': 'Light (लघु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↓ Pitta↓ Kapha↓'}",Lightest and easiest digestible dal.,"Split Green Gram (मूंग दाल धुली) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 348.0
- Protein: 24.5
- Carbohydrates: 62.0
- Fats: 1.1

Ayurvedic Properties:
- Rasa (Taste): Sweet (मधुर)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Light (लघु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↓ Pitta↓ Kapha↓

Notes: Lightest and easiest digestible dal."
chickpeas-sprouted-(अंकुरित-चना),Chickpeas Sprouted (अंकुरित चना),"Cereals,Pulses,Lentils & Legumes","{'calories': '164.0', 'protein': '9.0', 'carbs': '27.0', 'fats': '2.6'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Cooling (शीत)', 'guna': 'Light (लघु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}","Easier to digest, boosts metabolism.","Chickpeas Sprouted (अंकुरित चना) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 164.0
- Protein: 9.0
- Carbohydrates: 27.0
- Fats: 2.6

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Light (लघु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: Easier to digest, boosts metabolism."
pigeon-pea-whole-(अरहर-साबुत),Pigeon Pea Whole (अरहर साबुत),"Cereals,Pulses,Lentils & Legumes","{'calories': '343.0', 'protein': '22.0', 'carbs': '57.0', 'fats': '1.7'}","{'rasa': 'Sweet Astringent (मधुर कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Light (लघु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↑ Pitta↑ Kapha↓'}",Useful for constipation relief.,"Pigeon Pea Whole (अरहर साबुत) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 343.0
- Protein: 22.0
- Carbohydrates: 57.0
- Fats: 1.7

Ayurvedic Properties:
- Rasa (Taste): Sweet Astringent (मधुर कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Light (लघु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↑ Pitta↑ Kapha↓

Notes: Useful for constipation relief."
